Year  ✓  Movie                                                                                               Source              
1938     Angels With Dirty Faces                                                                             Oscar               
1938     The Citadel                                                                                         Oscar               
1938     Four Daughters                                                                                      Oscar               
1938     Algiers                                                                                             Oscar               
1938     White Banners                                                                                       Oscar               
1938     Marie Antoinette                                                                                    Oscar               
1938     Three Comrades                                                                                      Oscar               
1938     If I Were King                                                                                      Oscar               
1938     Merrily We Live                                                                                     Oscar               
1938  ✓  The Great Waltz                                                                                     Oscar               
1938     Of Human Hearts                                                                                     Oscar               
1938  ✓  The Adventures Of Robin Hood                                                                        Oscar               
1938     Alexander's Ragtime Band                                                                            Oscar               
1938     That Mothers Might Live                                                                             Oscar               
1938     Declaration Of Independence                                                                         Oscar               
1938     The Cowboy And The Lady                                                                             Oscar               
1938     Ferdinand The Bull                                                                                  Oscar               
1938  ✓  The Lady Vanishes                                                                                   Rotten Tomatoes     
1938     La Grande illusion (Grand Illusion)                                                                 Rotten Tomatoes     
1938  ✓  Bringing Up Baby                                                                                    Rotten Tomatoes     
1939  ✓  Gone With The Wind                                                                                  Oscar               
1939     Goodbye, Mr. Chips                                                                                  Oscar               
1939  ✓  Stagecoach                                                                                          Oscar               
1939  ✓  Wuthering Heights                                                                                   Oscar               
1939  ✓  Mr. Smith Goes To Washington                                                                        Oscar               
1939  ✓  Babes In Arms                                                                                       Oscar               
1939     Dark Victory                                                                                        Oscar               
1939  ✓  Love Affair                                                                                         Oscar               
1939  ✓  Ninotchka                                                                                           Oscar               
1939     Beau Geste                                                                                          Oscar               
1939     Juarez                                                                                              Oscar               
1939  ✓  Drums Along The Mohawk                                                                              Oscar               
1939     Senator                                                                                             Oscar               
1939     Melanie Hamilton                                                                                    Oscar               
1939     The Ugly Duckling                                                                                   Oscar               
1939     The Rains Came                                                                                      Oscar               
1939  ✓  The Wizard Of Oz                                                                                    Oscar               
1939     Busy Little Bears                                                                                   Oscar               
1939     Sons Of Liberty                                                                                     Oscar               
1939     When Tomorrow Comes                                                                                 Oscar               
1939     The Rules Of The Game (La règle du jeu)                                                             Rotten Tomatoes     
1940  ✓  The Grapes Of Wrath                                                                                 Oscar               
